text,label
"Reports suggest that Light smog is present, reducing visibility slightly.  and citizens are reacting strongly.",Moderate
"This morning, The environment feels a bit dusty and may cause mild throat irritation.",Moderate
"Today, Highly breathable and pure air quality, ideal for morning walks.  which is affecting daily life.",Excellent
"Today, Air feels mostly clean with small amounts of airborne particles.  and has raised health concerns.",Good
"In the area, Polluted atmosphere causing coughing and mild headaches.  which is affecting daily life.",Poor
"A cool breeze carries fresh, pure air that is perfect for outdoor activities.  as confirmed by environmental monitors.",Excellent
"A cool breeze carries fresh, pure air that is perfect for outdoor activities.  making outdoor activity risky.",Excellent
"Reports suggest that Overall atmosphere is healthy, though mild haze is occasionally visible.",Good
"In the area, AQI levels indicate moderate pollution, though still tolerable for most.",Moderate
"In the area, The air feels dirty, with noticeable haze lingering throughout the day.  as confirmed by environmental monitors.",Poor
"Today, Sharp burning sensation in throat and eyes due to deadly gas exposure.  and citizens are reacting strongly.",Hazardous
Reports suggest that Heavy dust and visible smog make breathing slightly uncomfortable.  which is affecting daily life.,Poor
Reports suggest that The air feels incredibly clean and refreshing with zero noticeable pollutants.  and has raised health concerns.,Excellent
"Reports suggest that A cool breeze carries fresh, pure air that is perfect for outdoor activities.  as confirmed by environmental monitors.",Excellent
"According to locals, Poor air quality today; long outdoor exposure may irritate the lungs.  and citizens are reacting strongly.",Poor
The environment feels a bit dusty and may cause mild throat irritation.  and citizens are reacting strongly.,Moderate
Experts noted that The environment smells fresh with no trace of pollution or dust.  and has raised health concerns.,Excellent
"This morning, Medical teams deployed as citizens faint from hazardous air conditions.  which is affecting daily life.",Hazardous
"Experts noted that AQI levels indicate moderate pollution, though still tolerable for most.  and has raised health concerns.",Moderate
Experts noted that Air quality is generally good with only a slight presence of natural dust.  and citizens are reacting strongly.,Good
Reports suggest that Polluted atmosphere causing coughing and mild headaches.  as confirmed by environmental monitors.,Poor
"Experts noted that The air feels dirty, with noticeable haze lingering throughout the day.  which is affecting daily life.",Poor
"The atmosphere is pristine, offering excellent visibility and comfort.  as confirmed by environmental monitors.",Excellent
Experts noted that Air so toxic that people report chest pain and vomiting blood.  making outdoor activity risky.,Hazardous
Reports suggest that Heavy dust and visible smog make breathing slightly uncomfortable.,Poor
The environment feels a bit dusty and may cause mild throat irritation.  and citizens are reacting strongly.,Moderate
"In the area, The environment feels a bit dusty and may cause mild throat irritation.  as confirmed by environmental monitors.",Moderate
"Experts noted that Good air quality today, suitable for most outdoor activities.  and has raised health concerns.",Good
"Today, Overall atmosphere is healthy, though mild haze is occasionally visible.  making outdoor activity risky.",Good
Experts noted that Air feels mostly clean with small amounts of airborne particles.  which is affecting daily life.,Good
Lingering pollution makes the environment unhealthy for children.  which is affecting daily life.,Poor
"According to locals, Heavy dust and visible smog make breathing slightly uncomfortable.",Poor
"Today, The environment feels a bit dusty and may cause mild throat irritation.  and citizens are reacting strongly.",Moderate
Polluted atmosphere causing coughing and mild headaches.  making outdoor activity risky.,Poor
"This morning, Strong odor of chemicals in the air indicates high pollution levels.  as confirmed by environmental monitors.",Very Poor
"This morning, Emergency declared due to dangerous smoke and airborne toxins.  and citizens are reacting strongly.",Hazardous
"In the area, Hazardous chemicals detected leading to severe breathing difficulty.  making outdoor activity risky.",Hazardous
Experts noted that Severe smog significantly reduces visibility and causes breathing issues.  which is affecting daily life.,Very Poor
Severe smog significantly reduces visibility and causes breathing issues.  which is affecting daily life.,Very Poor
"In the area, People advised to limit outdoor exposure due to extremely unhealthy air.  and has raised health concerns.",Very Poor
"This morning, Air quality is moderately affected by dust and minor pollutants.",Moderate
"Breathing is comfortable, and visibility remains clear throughout the day.  and has raised health concerns.",Good
Reports suggest that Crystal-clear skies and exceptionally fresh air make breathing effortless.  and has raised health concerns.,Excellent
"According to locals, Medical teams deployed as citizens faint from hazardous air conditions.",Hazardous
Experts noted that Poor air quality today; long outdoor exposure may irritate the lungs.,Poor
"Today, Highly breathable and pure air quality, ideal for morning walks.  which is affecting daily life.",Excellent
Experts noted that Air quality is moderately affected by dust and minor pollutants.,Moderate
"Today, People advised to limit outdoor exposure due to extremely unhealthy air.  which is affecting daily life.",Very Poor
"In the area, Sharp burning sensation in throat and eyes due to deadly gas exposure.  and citizens are reacting strongly.",Hazardous
Reports suggest that The environment smells fresh with no trace of pollution or dust.  and has raised health concerns.,Excellent
"This morning, Strong odor of chemicals in the air indicates high pollution levels.",Very Poor
"In the area, Hazardous chemicals detected leading to severe breathing difficulty.",Hazardous
Reports suggest that Heavy dust and visible smog make breathing slightly uncomfortable.  and citizens are reacting strongly.,Poor
Very poor atmospheric quality causing throat burning and eye irritation.  which is affecting daily life.,Very Poor
Experts noted that Air feels mostly clean with small amounts of airborne particles.,Good
"According to locals, Some haze is visible and may cause slight discomfort for sensitive individuals.  as confirmed by environmental monitors.",Moderate
"Today, Breathing is comfortable, and visibility remains clear throughout the day.  and citizens are reacting strongly.",Good
Reports suggest that Air feels mostly clean with small amounts of airborne particles.  which is affecting daily life.,Good
"According to locals, The environment smells fresh with no trace of pollution or dust.  as confirmed by environmental monitors.",Excellent
"According to locals, Light smog is present, reducing visibility slightly.  which is affecting daily life.",Moderate
"According to locals, Air heavily polluted with toxic particles; outdoor activities discouraged.",Very Poor
"This morning, The environment smells fresh with no trace of pollution or dust.  and has raised health concerns.",Excellent
"The atmosphere is pristine, offering excellent visibility and comfort.",Excellent
"According to locals, Polluted atmosphere causing coughing and mild headaches.  making outdoor activity risky.",Poor
Experts noted that Some haze is visible and may cause slight discomfort for sensitive individuals.  and citizens are reacting strongly.,Moderate
"Today, The environment smells fresh with no trace of pollution or dust.",Excellent
Reports suggest that Residents coughing blood due to life-threatening air toxicity.  as confirmed by environmental monitors.,Hazardous
"Experts noted that Breathing is comfortable, and visibility remains clear throughout the day.  which is affecting daily life.",Good
"Today, Air heavily polluted with toxic particles; outdoor activities discouraged.  making outdoor activity risky.",Very Poor
"This morning, People advised to limit outdoor exposure due to extremely unhealthy air.",Very Poor
Experts noted that Emergency declared due to dangerous smoke and airborne toxins.,Hazardous
